Dataset,Method,Error_Min_%,Error_Q1_%,Error_Median_%,Error_Q3_%,Whisker_Low_%,Whisker_High_%,Error_Mean_%,Error_Max_%,Avg_Time,Avg_Cost
TSPRand200,DeepACO,0.00603028890959495,0.711367427772591,1.66930778191985,2.80619333643988,0.00603028890959495,5.37804305684995,1.88632514125116,6.25052656104379,16.8584563548437,10.8349650951563
TSPRand200,GFACS,0.0762452394853394,0.62177254569275,1.35020036510741,2.7863867796145,0.0762452394853394,5.92341534133726,1.79579773464718,5.92341534133726,17.3589976318181,10.8200025558472
TSPRand200,NeuFACO,0.011558527493015,0.700683970177076,1.29929478098788,2.3975267474371,0.011558527493015,4.8931890027959,1.66389106477167,5.46450512581547,0.2792885565,10.8006414921875
TSPLib200,DeepACO,0.0586867706475859,0.217247943858958,0.395052294641764,1.27495908346972,0.0586867706475859,1.71875,1.49643867970934,12.0508744038156,13.6966473333041,36089.6633333333
TSPLib200,GFACS,0.0586867706475859,0.220405582403682,0.404100430280536,1.24106230847804,0.0586867706475859,1.60885959846451,1.43759952983511,11.7647058823529,13.7530129210154,36085.8533333333
TSPLib200,NeuFACO,0.0586867706475859,0.248896402742557,0.436005681143577,1.20278833967046,0.0586867706475859,1.64964249233912,1.38726567304919,12.0190779014308,0.216380881468455,36072.08
TSPRand500,DeepACO,0.224662794918326,2.25865453720508,3.07635671506352,3.73473817301875,0.224662794918326,5.47303315184513,3.02644891863278,7.0405667876588,119.581200110938,17.03027200625
TSPRand500,GFACS,0.0058427407967925,0.736144954914471,1.57950921125002,2.2198614177023,0.0058427407967925,3.31450991391125,1.53973936962489,5.48699500700667,136.137425038964,16.7681024372578
TSPRand500,NeuFACO,0.0103114337568106,0.63785245009074,1.37968185117967,2.14199821536598,0.0103114337568106,4.36373629764064,1.49842891144887,4.36373629764064,0.74320452290625,16.7626034028125
TSPRand1000,DeepACO,1.71067640449438,3.53580054019014,4.36374974070873,5.0546731849611,1.71067640449438,6.51689001728609,4.32170773417243,6.51689001728609,659.428788978125,24.1400431696875
TSPRand1000,GFACS,0.22020496974936,1.56458372947277,2.59120136127917,3.17052761452031,0.22020496974936,4.37733772687986,2.48267565970721,4.37733772687986,730.55665585,23.7128987904687
TSPRand1000,NeuFACO,0.104250388936897,1.11596117113224,1.78317875972342,2.55000462402765,0.104250388936897,4.65634312878133,1.99764385128565,5.63518223854797,1.98292114589063,23.5931141384375
TSPLib500,DeepACO,1.2911509679746,1.84793039726537,2.91372059061948,4.15644422636572,1.2911509679746,4.53145463577655,3.43311247577613,8.95221221516806,143.920740612348,39952.6
TSPLib500,GFACS,0.692780648327223,1.21820647648053,2.37550705623232,2.76414785737651,0.692780648327223,2.97791627150793,2.45573050510027,6.998375904326,150.491843771934,39626.9333333333
TSPLib500,NeuFACO,0.816037872008767,1.25286228328427,1.65017923492499,2.0762565637912,0.816037872008767,2.21819408144339,2.06308058551374,6.32954377676066,0.478091566562653,39599.92
TSPLib1000,DeepACO,2.19023756564606,3.32029407382989,4.38381535149262,6.50818787725994,2.19023756564606,9.56166250283897,4.860019220095,9.56166250283897,1047.58868730068,141084.694444444
TSPLib1000,GFACS,1.8166857266928,2.43117209500039,3.37352058819389,5.39551101793528,1.8166857266928,8.05889923536982,3.98711211223635,8.05889923536982,1141.23807615704,140044.333333333
TSPLib1000,NeuFACO,0.788420526235873,1.71805419429606,2.05674647430225,4.16997718647619,0.788420526235873,7.11257475963359,2.976369081497,7.11257475963359,1.02635900179545,138795
